Ticket   || Tipo            || Data       || Pai      || Incidente       || Descrição                                          ||
ENS-7645 || Epic            || 2025-08-27 || ENS-7645 || 0               || Incidente-2025-08-20_EPIC V                        ||
ENS-7644 || Epic            || 2025-08-27 || ENS-7644 || 0               || Incidente-2025-08-20_EPIC IV                       ||
ENS-7643 || Epic            || 2025-08-27 || ENS-7643 || 0               || Incidente-2025-08-20_EPIC III                      ||
ENS-7642 || Epic            || 2025-08-27 || ENS-7642 || 0               || Incidente-2025-08-20_EPIC II                       ||
ENS-7641 || Epic            || 2025-08-27 || ENS-7641 || 0               || Incidente-2025-08-20_EPIC I                        ||
ENS-7639 || História        || 2025-08-27 || ENS-7622 ||                 || Alteração] - Verificação consulta nfse em QA TKEDÍ ||
ENS-7637 || História        || 2025-08-27 || ENS-7621 ||                 || [Alteração]  -  REQ0314387 - Numeração de  equipam ||
ENS-7635 || História        || 2025-08-27 || ENS-7620 ||                 || [Alteração]  -  Verificação Lift Designer          ||
ENS-7633 || História        || 2025-08-27 || ENS-7619 ||                 || [Alteração]  -Verificação Purge                    ||
ENS-7631 || História        || 2025-08-27 || ENS-7618 ||                 || [Alteração] - Verificação erro ZF001               ||
ENS-7629 || História        || 2025-08-27 || ENS-7617 ||                 || [Alteração]  - EOX Display para Nuvem              ||
ENS-7627 || História        || 2025-08-27 || ENS-7616 ||                 || [Alteração] - Concur                               ||
ENS-7625 || História        || 2025-08-27 || ENS-7615 ||                 || [Novo Desenvolvimento]  - SOC                      ||
ENS-7623 || História        || 2025-08-27 || ENS-7614 ||                 || [Alteração] Análise Treinamentos Finalizados Level ||
ENS-7622 || Epic            || 2025-08-27 || ENS-7622 || 0               || Incidente-2025-08-20_EPIC VIII                     ||
ENS-7621 || Epic            || 2025-08-27 || ENS-7621 || 0               || Incidente-2025-08-20_EPIC VII                      ||
ENS-7620 || Epic            || 2025-08-27 || ENS-7620 || 0               || Incidente-2025-08-20_EPIC VI                       ||
ENS-7619 || Epic            || 2025-08-27 || ENS-7619 || 0               || Incidente-2025-08-20_EPIC V                        ||
ENS-7618 || Epic            || 2025-08-27 || ENS-7618 || 0               || Incidente-2025-08-20_EPIC IV                       ||
ENS-7617 || Epic            || 2025-08-27 || ENS-7617 || 0               || Incidente-2025-08-20_EPIC III                      ||
ENS-7616 || Epic            || 2025-08-27 || ENS-7616 || 0               || Incidente-2025-08-20_EPIC II                       ||
ENS-7615 || Epic            || 2025-08-27 || ENS-7615 || SCTASK0435445   || Incidente-2025-08-20_EPIC I                        ||
ENS-7614 || Epic            || 2025-08-27 || ENS-7614 || SCTASK0494199   || Treinamentos finalizados                           ||
ENS-7612 || História        || 2025-08-27 || ENS-7587 ||                 || [Alteração] Atividades Administrativas             ||
ENS-7610 || História        || 2025-08-27 || ENS-7595 ||                 || [Alteração] Manutenção SRVIRIS02 - WU              ||
ENS-7608 || História        || 2025-08-27 || ENS-7594 ||                 || [Alteração] Atividades Administrativas III         ||
ENS-7606 || História        || 2025-08-27 || ENS-7593 ||                 || [Alteração] Atividades Administrativas II          ||
ENS-7604 || História        || 2025-08-27 || ENS-7592 ||                 || [Alteração] Demandas Internas                      ||
ENS-7602 || História        || 2025-08-27 || ENS-7591 ||                 || [Alteração] Manutenção Databases                   ||
ENS-7600 || História        || 2025-08-27 || ENS-7590 ||                 || [Alteração] Manutenção SRVIRIS02 - WU II           ||
ENS-7598 || História        || 2025-08-27 || ENS-7589 ||                 || [Alteração] Portal de Log                          ||
ENS-7596 || História        || 2025-08-27 || ENS-7588 ||                 || [Alteração] IAM reativação do ecossistema          ||
ENS-7595 || Epic            || 2025-08-27 || ENS-7595 || 0               || Incidente-2025-08-20_EPIC VI                       ||
ENS-7594 || Epic            || 2025-08-27 || ENS-7594 || 0               || Incidente-2025-08-20_EPIC V                        ||
ENS-7593 || Epic            || 2025-08-27 || ENS-7593 || 0               || Incidente-2025-08-20_EPIC IV                       ||
ENS-7592 || Epic            || 2025-08-27 || ENS-7592 || 0               || Incidente-2025-08-20_EPIC III                      ||
ENS-7591 || Epic            || 2025-08-27 || ENS-7591 || 0               || Incidente-2025-08-20_EPIC II                       ||
ENS-7590 || Epic            || 2025-08-27 || ENS-7590 || 0               || Incidente-2025-08-20_EPIC I                        ||
ENS-7589 || Epic            || 2025-08-27 || ENS-7589 || 0               || Portal de Log                                      ||
ENS-7588 || Epic            || 2025-08-27 || ENS-7588 || 0               || IAM reativação do ecossistema                      ||
ENS-7587 || Epic            || 2025-08-27 || ENS-7587 || 0               || Atividades Administrativas                         ||
ENS-7582 || História        || 2025-08-12 || ENS-7555 ||                 || [Alteração] Reunião IRIS                           ||
ENS-7580 || História        || 2025-08-12 || ENS-7554 ||                 || [Alteração] EOX/PRICING- Apoio testes Cadastros Ba ||
ENS-7578 || História        || 2025-08-12 || ENS-7553 ||                 || [Alteração] Atividades Internas IRIS X             ||
ENS-7576 || História        || 2025-08-12 || ENS-7552 ||                 || [Alteração] Atividades Internas IRIS IX            ||
ENS-7574 || História        || 2025-08-12 || ENS-7551 ||                 || [Alteração] Atividades Internas IRIS VII           ||
ENS-7572 || História        || 2025-08-12 || ENS-7550 ||                 || [Alteração] Atividades Internas IRIS VI            ||
ENS-7570 || História        || 2025-08-12 || ENS-7549 ||                 || [Alteração] Atividades Internas IRIS V             ||
ENS-7568 || História        || 2025-08-12 || ENS-7548 ||                 || [Alteração] Atividades Internas IRIS II            ||
ENS-7566 || História        || 2025-08-12 || ENS-7547 ||                 || [Alteração] Atividades Internas IRIS IV            ||
ENS-7564 || História        || 2025-08-12 || ENS-7546 ||                 || [Alteração] Atividades Internas IRIS III           ||
ENS-7562 || História        || 2025-08-12 || ENS-7545 ||                 || [Alteração] Atividades Internas IRIS I             ||
ENS-7560 || História        || 2025-08-12 || ENS-7544 ||                 || Apoio a testes 880215 do AIT                       ||
ENS-7558 || História        || 2025-08-12 || ENS-7543 ||                 || Envio de email do GUS, ajuda para identificar o pr ||
ENS-7556 || História        || 2025-08-12 || ENS-7542 ||                 || Cubiscan                                           ||
ENS-7555 || Epic            || 2025-08-12 || ENS-7555 || 0               || Incidente-2025-08-06_EPIC XI                       ||
ENS-7554 || Epic            || 2025-08-12 || ENS-7554 || 0               || Incidente-2025-08-06_EPIC X                        ||
ENS-7553 || Epic            || 2025-08-12 || ENS-7553 || 0               || Incidente-2025-08-06_EPIC IX                       ||
ENS-7552 || Epic            || 2025-08-12 || ENS-7552 || 0               || Incidente-2025-08-06_EPIC VIII                     ||
ENS-7551 || Epic            || 2025-08-12 || ENS-7551 || 0               || Incidente-2025-08-06_EPIC VII                      ||
ENS-7550 || Epic            || 2025-08-12 || ENS-7550 || 0               || Incidente-2025-08-06_EPIC VI                       ||
ENS-7549 || Epic            || 2025-08-12 || ENS-7549 || 0               || Incidente-2025-08-06_EPIC V                        ||
ENS-7548 || Epic            || 2025-08-12 || ENS-7548 || 0               || Incidente-2025-08-06_EPIC IV                       ||
ENS-7547 || Epic            || 2025-08-12 || ENS-7547 || 0               || Incidente-2025-08-06_EPIC III                      ||
ENS-7546 || Epic            || 2025-08-12 || ENS-7546 || 0               || Incidente-2025-08-06_EPIC II                       ||
ENS-7545 || Epic            || 2025-08-12 || ENS-7545 || 0               || Incidente-2025-08-06_EPIC I                        ||
ENS-7544 || Epic            || 2025-08-12 || ENS-7544 || SCTASK0436795   || Apoio a testes 880215 do AIT                       ||
ENS-7543 || Epic            || 2025-08-12 || ENS-7543 || SCTASK0483169   || Envio de email do GUS, ajuda para identificar o pr ||
ENS-7542 || Epic            || 2025-08-12 || ENS-7542 || SCTASK0435437   || Cubiscan                                           ||
ENS-7540 || História        || 2025-08-12 || ENS-7515 ||                 || [Alteração] Avaliação Componente BS                ||
ENS-7538 || História        || 2025-08-12 || ENS-7514 ||                 || [Alteração] Avaliação Componente BS                ||
ENS-7536 || História        || 2025-08-12 || ENS-7513 ||                 || [Alteração] Avaliação Componente BS                ||
ENS-7534 || História        || 2025-08-12 || ENS-7512 ||                 || [Alteração] Avaliação IIS Infra                    ||
ENS-7532 || História        || 2025-08-12 || ENS-7511 ||                 || [Alteração] Avaliação IIS Infra                    ||
ENS-7530 || História        || 2025-08-12 || ENS-7510 ||                 || [Alteração] Reunião IRIS                           ||
ENS-7528 || História        || 2025-08-12 || ENS-7509 ||                 || [Alteração] Reunião IRIS                           ||
ENS-7526 || História        || 2025-08-12 || ENS-7508 ||                 || [Alteração] Avaliação novidades IRIS / Intersystem ||
ENS-7524 || História        || 2025-08-12 || ENS-7507 ||                 || [Alteração] Avaliação novidades IRIS / Intersystem ||
ENS-7522 || História        || 2025-08-12 || ENS-7506 ||                 || [Alteração] Avaliação novidades IRIS / Intersystem ||
ENS-7520 || História        || 2025-08-12 || ENS-7505 ||                 || [Alteração] Avaliação novidades IRIS / Intersystem ||
ENS-7518 || História        || 2025-08-12 || ENS-7504 ||                 || [Alteração] IRIS + WebGateway + IIS WAS            ||
ENS-7516 || História        || 2025-08-12 || ENS-7503 ||                 || [Alteração] IRIS + WebGateway + IIS WAS            ||
ENS-7515 || Epic            || 2025-08-12 || ENS-7515 || 0               || Incidente-2025-08-06_EPIC XIII                     ||
ENS-7514 || Epic            || 2025-08-12 || ENS-7514 || 0               || Incidente-2025-08-06_EPIC XII                      ||
ENS-7513 || Epic            || 2025-08-12 || ENS-7513 || 0               || Incidente-2025-08-06_EPIC XI                       ||
ENS-7512 || Epic            || 2025-08-12 || ENS-7512 || 0               || Incidente-2025-08-06_EPIC X                        ||
ENS-7511 || Epic            || 2025-08-12 || ENS-7511 || 0               || Incidente-2025-08-06_EPIC IX                       ||
ENS-7510 || Epic            || 2025-08-12 || ENS-7510 || 0               || Incidente-2025-08-06_EPIC VIII                     ||
ENS-7509 || Epic            || 2025-08-12 || ENS-7509 || 0               || Incidente-2025-08-06_EPIC VII                      ||
ENS-7508 || Epic            || 2025-08-12 || ENS-7508 || 0               || Incidente-2025-08-06_EPIC VI                       ||
ENS-7507 || Epic            || 2025-08-12 || ENS-7507 || 0               || Incidente-2025-08-06_EPIC V                        ||
ENS-7506 || Epic            || 2025-08-12 || ENS-7506 || 0               || Incidente-2025-08-06_EPIC IV                       ||
ENS-7505 || Epic            || 2025-08-12 || ENS-7505 || 0               || Incidente-2025-08-06_EPIC III                      ||
ENS-7504 || Epic            || 2025-08-12 || ENS-7504 || 0               || Incidente-2025-08-06_EPIC II                       ||
ENS-7503 || Epic            || 2025-08-12 || ENS-7503 || 0               || Incidente-2025-08-06_EPIC I                        ||
ENS-7501 || História        || 2025-08-11 || ENS-7470 ||                 || [Alteração] IRIS + WebGateway + IIS WAS            ||
ENS-7499 || História        || 2025-08-11 || ENS-7469 ||                 || [Alteração] IRIS + WebGateway + IIS WAS            ||
ENS-7497 || História        || 2025-08-11 || ENS-7468 ||                 || [Alteração]  -Teste e Deploy pesquisa NDD D009     ||
ENS-7495 || História        || 2025-08-11 || ENS-7467 ||                 || [Alteração] - Janela IRIS QA atualização II        ||
ENS-7493 || História        || 2025-08-11 || ENS-7466 ||                 || -[Alteração] - Janela IRIS QA atualização I        ||
ENS-7491 || História        || 2025-08-11 || ENS-7465 ||                 || -[Alteração] -  Deploy importa arquivo ZF190       ||
ENS-7489 || História        || 2025-08-11 || ENS-7464 ||                 || [Alteração] -  Erro 400 Traking                    ||
ENS-7487 || História        || 2025-08-11 || ENS-7463 ||                 || [Alteração]  - Erro 500 WeHandle                   ||
ENS-7485 || História        || 2025-08-11 || ENS-7462 ||                 || [Alteração] -  Verificação erro CompatibilidadeMAX ||
ENS-7483 || História        || 2025-08-11 || ENS-7461 ||                 || [Alteração] - Infobip funcionários - acerto email  ||
ENS-7481 || História        || 2025-08-11 || ENS-7460 ||                 || [Alteração] - Real Time - EOX-DEP                  ||
ENS-7479 || História        || 2025-08-11 || ENS-7459 ||                 || -[Alteração] - REQ0268324 (Pasta sharepoint ZF190) ||
ENS-7477 || História        || 2025-08-11 || ENS-7458 ||                 || [Novo Desenvolvimento] - SOC                       ||
ENS-7475 || História        || 2025-08-11 || ENS-7457 ||                 || [Alteração] Verificação Triger GUS QA              ||
ENS-7473 || História        || 2025-08-11 || ENS-7456 ||                 || Por gentileza, alterar consulta das notas de NFe p ||
ENS-7471 || História        || 2025-08-11 || ENS-7455 ||                 || O GUS deve enviar ao E-sales o status da proposta  ||
ENS-7470 || Epic            || 2025-08-11 || ENS-7470 || 0               || Incidente-2025-08-06_EPIC XIV                      ||
ENS-7469 || Epic            || 2025-08-11 || ENS-7469 || 0               || Incidente-2025-08-06_EPIC XIII                     ||
ENS-7468 || Epic            || 2025-08-11 || ENS-7468 || 0               || Incidente-2025-08-06_EPIC XII                      ||
ENS-7467 || Epic            || 2025-08-11 || ENS-7467 || 0               || Incidente-2025-08-06_EPIC XI                       ||
ENS-7466 || Epic            || 2025-08-11 || ENS-7466 || 0               || Incidente-2025-08-06_EPIC X                        ||
ENS-7465 || Epic            || 2025-08-11 || ENS-7465 || 0               || Incidente-2025-08-06_EPIC IX                       ||
ENS-7464 || Epic            || 2025-08-11 || ENS-7464 || 0               || Incidente-2025-08-06_EPIC VIII                     ||
ENS-7463 || Epic            || 2025-08-11 || ENS-7463 || 0               || Incidente-2025-08-06_EPIC VII                      ||
ENS-7462 || Epic            || 2025-08-11 || ENS-7462 || 0               || Incidente-2025-08-06_EPIC VI                       ||
ENS-7461 || Epic            || 2025-08-11 || ENS-7461 || 0               || Incidente-2025-08-06_EPIC V                        ||
ENS-7460 || Epic            || 2025-08-11 || ENS-7460 || 0               || Incidente-2025-08-06_EPIC IV                       ||
ENS-7459 || Epic            || 2025-08-11 || ENS-7459 || 0               || Incidente-2025-08-06_EPIC III                      ||
ENS-7458 || Epic            || 2025-08-11 || ENS-7458 || SCTASK0435445   || Incidente-2025-08-06_EPIC II                       ||
ENS-7457 || Epic            || 2025-08-11 || ENS-7457 || 0               || Incidente-2025-08-06_EPIC I                        ||
ENS-7456 || Epic            || 2025-08-11 || ENS-7456 || SCTASK0468668   || Por gentileza, alterar consulta das notas de NFe p ||
ENS-7455 || Epic            || 2025-08-11 || ENS-7455 || SCTASK0427711   || O GUS deve enviar ao E-sales o status da proposta  ||
ENS-7453 || História        || 2025-08-11 || ENS-7432 ||                 || [Alteração] Análise melhorias caso ZF004N          ||
ENS-7451 || História        || 2025-08-11 || ENS-7431 ||                 || [Alteração] War Room ZF004N - II                   ||
ENS-7449 || História        || 2025-08-11 || ENS-7430 ||                 || [Alteração] War Room ZF004N                        ||
ENS-7447 || História        || 2025-08-11 || ENS-7429 ||                 || [Alteração] Gestão Demandas                        ||
ENS-7445 || História        || 2025-08-11 || ENS-7428 ||                 || [Alteração] Análise ZF004N                         ||
ENS-7443 || História        || 2025-08-11 || ENS-7427 ||                 || [Alteração] Atividades Administrativas II          ||
ENS-7441 || História        || 2025-08-11 || ENS-7426 ||                 || [Alteração] Atividades Administrativas III         ||
ENS-7439 || História        || 2025-08-11 || ENS-7425 ||                 || IAM reativação do ecossistema                      ||
ENS-7437 || História        || 2025-08-11 || ENS-7424 ||                 || [Alteração] Análise do portal de ocorrências de lo ||
ENS-7435 || História        || 2025-08-11 || ENS-7423 ||                 || [Alteração] Alternativa ZINTERFACELOTE2            ||
ENS-7433 || História        || 2025-08-11 || ENS-7422 ||                 || [Alteração] Atividades Administrativas             ||
ENS-7432 || Epic            || 2025-08-11 || ENS-7432 || 0               || Incidente-2025-08-06_EPIC VII                      ||
ENS-7431 || Epic            || 2025-08-11 || ENS-7431 || 0               || Incidente-2025-08-06_EPIC VI                       ||
ENS-7430 || Epic            || 2025-08-11 || ENS-7430 || 0               || Incidente-2025-08-06_EPIC V                        ||
ENS-7429 || Epic            || 2025-08-11 || ENS-7429 || 0               || Incidente-2025-08-06_EPIC IV                       ||
ENS-7428 || Epic            || 2025-08-11 || ENS-7428 || 0               || Incidente-2025-08-06_EPIC III                      ||
ENS-7427 || Epic            || 2025-08-11 || ENS-7427 || 0               || Incidente-2025-08-06_EPIC II                       ||
ENS-7426 || Epic            || 2025-08-11 || ENS-7426 || 0               || Incidente-2025-08-06_EPIC I                        ||
ENS-7425 || Epic            || 2025-08-11 || ENS-7425 || 0               || IAM reativação do ecossistema                      ||
ENS-7424 || Epic            || 2025-08-11 || ENS-7424 || 0               || Análise do portal de ocorrências de log            ||
ENS-7423 || Epic            || 2025-08-11 || ENS-7423 || 0               || Alternativa ZINTERFACELOTE2                        ||
ENS-7422 || Epic            || 2025-08-11 || ENS-7422 || 0               || Atividades Administrativas                         ||
ENS-7419 || História        || 2025-07-30 || ENS-7396 ||                 || [Alteração] Gestão IV                              ||
ENS-7417 || História        || 2025-07-30 || ENS-7395 ||                 || [Alteração] ObjectScript / VS Code                 ||
ENS-7415 || História        || 2025-07-30 || ENS-7394 ||                 || [Alteração] ObjectScript / VS Code                 ||
ENS-7413 || História        || 2025-07-30 || ENS-7393 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7411 || História        || 2025-07-30 || ENS-7392 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7409 || História        || 2025-07-30 || ENS-7391 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7407 || História        || 2025-07-30 || ENS-7390 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7405 || História        || 2025-07-30 || ENS-7389 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7403 || História        || 2025-07-30 || ENS-7388 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7401 || História        || 2025-07-30 || ENS-7387 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7399 || História        || 2025-07-30 || ENS-7386 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7397 || História        || 2025-07-30 || ENS-7385 ||                 || [Alteração] Cubiscan                               ||
ENS-7396 || Epic            || 2025-07-30 || ENS-7396 || 0               || Incidente-2025-07-23_EPIC XI                       ||
ENS-7395 || Epic            || 2025-07-30 || ENS-7395 || 0               || Incidente-2025-07-23_EPIC X                        ||
ENS-7394 || Epic            || 2025-07-30 || ENS-7394 || 0               || Incidente-2025-07-23_EPIC IX                       ||
ENS-7393 || Epic            || 2025-07-30 || ENS-7393 || 0               || Incidente-2025-07-23_EPIC VIII                     ||
ENS-7392 || Epic            || 2025-07-30 || ENS-7392 || 0               || Incidente-2025-07-23_EPIC VII                      ||
ENS-7391 || Epic            || 2025-07-30 || ENS-7391 || 0               || Incidente-2025-07-23_EPIC VI                       ||
ENS-7390 || Epic            || 2025-07-30 || ENS-7390 || 0               || Incidente-2025-07-23_EPIC V                        ||
ENS-7389 || Epic            || 2025-07-30 || ENS-7389 || 0               || Incidente-2025-07-23_EPIC IV                       ||
ENS-7388 || Epic            || 2025-07-30 || ENS-7388 || 0               || Incidente-2025-07-23_EPIC III                      ||
ENS-7387 || Epic            || 2025-07-30 || ENS-7387 || 0               || Incidente-2025-07-23_EPIC II                       ||
ENS-7386 || Epic            || 2025-07-30 || ENS-7386 || 0               || Incidente-2025-07-23_EPIC I                        ||
ENS-7385 || Epic            || 2025-07-30 || ENS-7385 || SCTASK0435437   || Cubiscan                                           ||
ENS-7383 || História        || 2025-07-30 || ENS-7360 ||                 || [Alteração] Gestão II                              ||
ENS-7381 || História        || 2025-07-30 || ENS-7359 ||                 || [Alteração] Gestão III                             ||
ENS-7379 || História        || 2025-07-30 || ENS-7358 ||                 || [Alteração] Manutenção Databases                   ||
ENS-7377 || História        || 2025-07-30 || ENS-7357 ||                 || [Alteração] Drummer                                ||
ENS-7375 || História        || 2025-07-30 || ENS-7356 ||                 || [Alteração] Drummer                                ||
ENS-7373 || História        || 2025-07-30 || ENS-7355 ||                 || [Alteração] POC arquivo Parquet IRIS/PYTHON        ||
ENS-7371 || História        || 2025-07-30 || ENS-7354 ||                 || [Alteração] Pentest Portal de Integração           ||
ENS-7369 || História        || 2025-07-30 || ENS-7353 ||                 || [Alteração] POC arquivo Parquet IRIS/PYTHON        ||
ENS-7367 || História        || 2025-07-30 || ENS-7352 ||                 || [Alteração] POC arquivo Parquet IRIS/PYTHON        ||
ENS-7365 || História        || 2025-07-30 || ENS-7351 ||                 || [Alteração] Análise de  filas direcionadas ao SAP  ||
ENS-7363 || História        || 2025-07-30 || ENS-7350 ||                 || [Alteração]Problema de paginação MAX               ||
ENS-7361 || História        || 2025-07-30 || ENS-7349 ||                 || [Alteração]Testes da ZINTERFACELOTE2               ||
ENS-7360 || Epic            || 2025-07-30 || ENS-7360 || 0               || Incidente-2025-07-23_EPIC X                        ||
ENS-7359 || Epic            || 2025-07-30 || ENS-7359 || 0               || Incidente-2025-07-23_EPIC IX                       ||
ENS-7358 || Epic            || 2025-07-30 || ENS-7358 || 0               || Incidente-2025-07-23_EPIC VIII                     ||
ENS-7357 || Epic            || 2025-07-30 || ENS-7357 || 0               || Incidente-2025-07-23_EPIC VII                      ||
ENS-7356 || Epic            || 2025-07-30 || ENS-7356 || 0               || Incidente-2025-07-23_EPIC VI                       ||
ENS-7355 || Epic            || 2025-07-30 || ENS-7355 || 0               || Incidente-2025-07-23_EPIC V                        ||
ENS-7354 || Epic            || 2025-07-30 || ENS-7354 || 0               || Incidente-2025-07-23_EPIC IV                       ||
ENS-7353 || Epic            || 2025-07-30 || ENS-7353 || 0               || Incidente-2025-07-23_EPIC III                      ||
ENS-7352 || Epic            || 2025-07-30 || ENS-7352 || 0               || Incidente-2025-07-23_EPIC II                       ||
ENS-7351 || Epic            || 2025-07-30 || ENS-7351 || 0               || Incidente-2025-07-23_EPIC I                        ||
ENS-7350 || Epic            || 2025-07-30 || ENS-7350 || 0               || Problema de paginação MAX                          ||
ENS-7349 || Epic            || 2025-07-30 || ENS-7349 || 0               || Testes da ZINTERFACELOTE2                          ||
ENS-7347 || História        || 2025-07-29 || ENS-7334 ||                 || [Alteração] Verificação email infobip funcionários ||
ENS-7345 || História        || 2025-07-29 || ENS-7333 ||                 || [Alteração]  REQ0289672 Status GUS/ESALES          ||
ENS-7343 || História        || 2025-07-29 || ENS-7332 ||                 || [Alteração] REQ0299582 - parâmetro gamificação     ||
ENS-7341 || História        || 2025-07-29 || ENS-7331 ||                 || [Alteração] Revisão Integração envio de email RH l ||
ENS-7339 || História        || 2025-07-29 || ENS-7330 ||                 || [Novo Desenvolvimento] - SOC                       ||
ENS-7337 || História        || 2025-07-29 || ENS-7329 ||                 || [Alteração] o portal receba uma recusa da NDD (cód ||
ENS-7335 || História        || 2025-07-29 || ENS-7328 ||                 || [Novo Desenvolvimento]Bancos Cobrança Reprocessame ||
ENS-7334 || Epic            || 2025-07-29 || ENS-7334 || 0               || Incidente-2025-07-23_EPIC V                        ||
ENS-7333 || Epic            || 2025-07-29 || ENS-7333 || 0               || Incidente-2025-07-23_EPIC IV                       ||
ENS-7332 || Epic            || 2025-07-29 || ENS-7332 || 0               || Incidente-2025-07-23_EPIC III                      ||
ENS-7331 || Epic            || 2025-07-29 || ENS-7331 || 0               || Incidente-2025-07-23_EPIC II                       ||
ENS-7330 || Epic            || 2025-07-29 || ENS-7330 || SCTASK0435445   || Incidente-2025-07-23_EPIC I                        ||
ENS-7329 || Epic            || 2025-07-29 || ENS-7329 || SCTASK0468668   || o portal receba uma recusa da NDD (código D009)    ||
ENS-7328 || Epic            || 2025-07-29 || ENS-7328 || REQ0268324      || Bancos Cobrança Reprocessamento                    ||
ENS-7326 || História        || 2025-07-29 || ENS-7319 ||                 || [Alteração] IAM reativação do ecossistema          ||
ENS-7324 || História        || 2025-07-29 || ENS-7318 ||                 || [Alteração] Análise do portal de ocorrências de lo ||
ENS-7322 || História        || 2025-07-29 || ENS-7317 ||                 || [Alteração] Alternativa ZINTERFACELOTE2            ||
ENS-7320 || História        || 2025-07-29 || ENS-7316 ||                 || [Alteração] Atividades Administrativas             ||
ENS-7319 || Epic            || 2025-07-29 || ENS-7319 || 0               || IAM reativação do ecossistema                      ||
ENS-7318 || Epic            || 2025-07-29 || ENS-7318 || 0               || Análise do portal de ocorrênicas de log            ||
ENS-7317 || Epic            || 2025-07-29 || ENS-7317 || 0               || Alternativa ZINTERFACELOTE2                        ||
ENS-7316 || Epic            || 2025-07-29 || ENS-7316 || 0               || Atividades Administrativas                         ||
ENS-7312 || História        || 2025-07-15 || ENS-7282 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7310 || História        || 2025-07-15 || ENS-7281 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7308 || História        || 2025-07-15 || ENS-7280 ||                 || [Alteração] IRIS > VSCODE                          ||
ENS-7306 || História        || 2025-07-15 || ENS-7279 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7304 || História        || 2025-07-15 || ENS-7278 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7302 || História        || 2025-07-15 || ENS-7277 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7300 || História        || 2025-07-15 || ENS-7276 ||                 || [Alteração] Portal de Integrações - testes         ||
ENS-7298 || História        || 2025-07-15 || ENS-7275 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7296 || História        || 2025-07-15 || ENS-7274 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7294 || História        || 2025-07-15 || ENS-7273 ||                 || [Alteração] Portal de Integrações - testes         ||
ENS-7292 || História        || 2025-07-15 || ENS-7272 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7290 || História        || 2025-07-15 || ENS-7271 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7288 || História        || 2025-07-15 || ENS-7270 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7286 || História        || 2025-07-15 || ENS-7269 ||                 || [Alteração] Atividades Internas IRIS               ||
ENS-7284 || História        || 2025-07-15 || ENS-7283 ||                 || [Alteração] Cubiscan                               ||
ENS-7283 || Epic            || 2025-07-15 || ENS-7283 || 874286          || Cubiscan                                           ||
ENS-7282 || Epic            || 2025-07-15 || ENS-7282 || 0               || Incidente-2025-07-9_EPIC XIV                       ||
ENS-7281 || Epic            || 2025-07-15 || ENS-7281 || 0               || Incidente-2025-07-9_EPIC XIII                      ||
ENS-7280 || Epic            || 2025-07-15 || ENS-7280 || 0               || Incidente-2025-07-9_EPIC XII                       ||
ENS-7279 || Epic            || 2025-07-15 || ENS-7279 || 0               || Incidente-2025-07-9_EPIC XI                        ||
ENS-7278 || Epic            || 2025-07-15 || ENS-7278 || 0               || Incidente-2025-07-9_EPIC X                         ||
ENS-7277 || Epic            || 2025-07-15 || ENS-7277 || 0               || Incidente-2025-07-9_EPIC IX                        ||
ENS-7276 || Epic            || 2025-07-15 || ENS-7276 || 0               || Incidente-2025-07-9_EPIC VIII                      ||
ENS-7275 || Epic            || 2025-07-15 || ENS-7275 || 0               || Incidente-2025-07-9_EPIC VII                       ||
ENS-7274 || Epic            || 2025-07-15 || ENS-7274 || 0               || Incidente-2025-07-9_EPIC VI                        ||
ENS-7273 || Epic            || 2025-07-15 || ENS-7273 || 0               || Incidente-2025-07-9_EPIC V                         ||
ENS-7272 || Epic            || 2025-07-15 || ENS-7272 || 0               || Incidente-2025-07-9_EPIC IV                        ||
ENS-7271 || Epic            || 2025-07-15 || ENS-7271 || 0               || Incidente-2025-07-9_EPIC III                       ||
ENS-7270 || Epic            || 2025-07-15 || ENS-7270 || 0               || Incidente-2025-07-9_EPIC II                        ||
ENS-7269 || Epic            || 2025-07-15 || ENS-7269 || 0               || Incidente-2025-07-9_EPIC I                         ||
ENS-7267 || História        || 2025-07-15 || ENS-7244 ||                 || [Alteração] Portal de Integração                   ||
ENS-7265 || História        || 2025-07-15 || ENS-7243 ||                 || [Alteração] Portal de Integração                   ||
ENS-7263 || História        || 2025-07-15 || ENS-7242 ||                 || [Alteração] Portal de Integração                   ||
